Country Name,Country Code,Indicator Name,Indicator Code,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,34379808889,44405101470,54438966420,52023504656,50381825504,57386216850,54033250329,55615397666,56901994980,50647442757,53806894796,58971520599,66230155100,68558815112
Luxembourg,LUX,GDP (current US$),NY.GDP.MKTP.CD,42414308117,50888134410,55849686539,51370543206,53212476812,60004630234,56677961787,61739352212,66103853237,57744457955,60691483443,64181944723,70919958016,71104919108
Myanmar,MMR,GDP (current US$),NY.GDP.MKTP.CD,14502553710,20182477481,31862554102,36906181381,49540813342,59977326086,59937797559,60269734045,65446199788,67822772707,67184236747,68945867478,76168043982,76085852617
Oman,OMN,GDP (current US$),NY.GDP.MKTP.CD,37215779656,42085379489,60905452458,48388363516,56913065779,67872692582,76511059936,78555637365,80686854743,68399663322,65480507171,70598026283,79788768969,76331518669
Guatemala,GTM,GDP (current US$),NY.GDP.MKTP.CD,30231249625,34113107372,39136436614,37733609795,41338008613,47654783852,50388460925,52996540576,57852399705,62186186576,66053725049,71612352645,73118147941,76710355347
Sri Lanka,LKA,GDP (current US$),NY.GDP.MKTP.CD,28279814925,32350248411,40713812310,42066217872,56725749222,65292753005,68434409315,74317806538,79356449841,80604080689,82401038710,87428125558,88425889592,84008783756
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,52381006892,65266452081,88538611205,70307163678,83799496611,111789686464,128052853643,136709862831,145712200313,116193649124,101123851090,122123822334,101353230785,88815697793
Dominican Republic,DOM,GDP (current US$),NY.GDP.MKTP.CD,37879869898,43965420071,48122547177,48261033297,53860175557,58029750744,60681537195,62682163838,67179914026,71164825258,75704720190,79997975623,85555378044,88941299734
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,25825524821,31958195182,35895153328,37021512049,40000088347,41953433591,50412754861,55096728048,61448046802,64007750169,69188755364,78965004656,87778582964,95503088538
Ethiopia,ETH,GDP (current US$),NY.GDP.MKTP.CD,15280861835,19707616773,27066912635,32437389116,29933790334,31952763089,43310721414,47648211133,55612228234,64589334979,74296618481,81770791971,84269348327,95912590628
Puerto Rico,PRI,GDP (current US$),NY.GDP.MKTP.CD,87276164400,89524131600,93639300000,96385600000,98381300000,100351700000,101564800000,102450000000,102445800000,103375500000,104336700000,103445500000,100979900000,104988600000
Slovak Republic,SVK,GDP (current US$),NY.GDP.MKTP.CD,70708098106,86454081577,100469509301,89046289247,90310718349,99122802874,94534730681,98848641555,101189715749,88467555244,89655253976,95494424979,105701930963,105079673010
Ecuador,ECU,GDP (current US$),NY.GDP.MKTP.CD,46802044000,51007777000,61762635000,62519686000,69555367000,79276664000,87924544000,95129659000,101726331000,99290381000,99937696000,104295862000,107562008000,107435665000
